Month,Day,MAPE
1.0,1.0,5.974424651888135
1.0,2.0,14.143815979737557
1.0,3.0,19.730688142313703
1.0,4.0,22.77069385964817
1.0,5.0,27.84788258320205
1.0,6.0,3.861941368837283
1.0,7.0,2.5025854893632293
1.0,8.0,13.410820317147365
1.0,9.0,18.391845083313775
1.0,10.0,19.473588052872174
1.0,11.0,14.393536173408236
1.0,12.0,29.061313271172008
1.0,13.0,2.757997194006927
1.0,14.0,1.2025386167733831
1.0,15.0,18.184059140630907
1.0,16.0,20.089733408585694
1.0,17.0,20.878727430874864
1.0,18.0,15.639527088995639
1.0,19.0,18.220441561906554
1.0,20.0,1.390060201295024
1.0,21.0,1.1590457546106527
1.0,22.0,18.906717473191996
1.0,23.0,16.347607253998365
1.0,24.0,15.546396790312352
1.0,25.0,22.174483017539583
1.0,26.0,5.316988553280909
1.0,27.0,2.1774102581282118
1.0,28.0,2.0436408967638275
1.0,29.0,13.068402230763212
1.0,30.0,15.258230676389351
1.0,31.0,20.3107349804804
1.0,2.0,14.143815979737557
2.0,2.0,25.01993101767382
2.0,3.0,2.451444459186253
2.0,4.0,1.8385611502327008
2.0,5.0,12.148336690081223
2.0,6.0,15.569050881892545
2.0,7.0,15.589426274491606
2.0,8.0,18.996928140356196
2.0,9.0,21.492033003508052
2.0,10.0,2.2661922642261216
2.0,11.0,1.6299014240603613
2.0,12.0,12.469581539788111
2.0,13.0,17.34036673762862
2.0,14.0,20.1783127358884
2.0,15.0,2.389931417523888
2.0,16.0,1.7339153642077085
2.0,17.0,4.600462503814407
2.0,18.0,1.7635172814799809
2.0,19.0,16.642246264800065
2.0,20.0,17.74355960603241
2.0,21.0,22.090558593947037
2.0,22.0,16.36027610370717
2.0,23.0,18.782571847222286
2.0,24.0,1.2778497567471772
2.0,25.0,1.574397494751559
2.0,26.0,13.24497771416691
2.0,27.0,8.942165369037799
2.0,28.0,18.359403818606626
1.0,3.0,19.730688142313703
2.0,3.0,2.451444459186253
3.0,3.0,1.1849401214367796
3.0,4.0,1.1494742794090917
3.0,5.0,8.661927581241418
3.0,6.0,8.088207327840367
3.0,7.0,19.02665858219271
3.0,8.0,13.056926164048157
3.0,9.0,13.580373770499948
3.0,10.0,2.070930650516595
3.0,11.0,1.2933354739812102
3.0,12.0,10.863045468184051
3.0,13.0,7.254956357705031
3.0,14.0,8.407446205419294
3.0,15.0,5.352170629603738
3.0,16.0,6.252599658158921
3.0,17.0,2.129707688810906
3.0,18.0,2.319563806130922
3.0,19.0,6.456653919976797
3.0,20.0,8.724745665896517
3.0,21.0,18.868889770785024
3.0,22.0,10.243475653102747
3.0,23.0,8.836819105167589
3.0,24.0,1.8953281000231759
3.0,25.0,1.387143293675748
3.0,26.0,9.759641005383287
3.0,27.0,6.047664301161833
3.0,28.0,5.219247950878481
3.0,29.0,4.201635884981247
3.0,30.0,3.163996585408837
3.0,31.0,1.288050105732201
1.0,4.0,22.77069385964817
2.0,4.0,1.8385611502327008
3.0,4.0,1.1494742794090917
4.0,4.0,8.446915279670224
4.0,5.0,9.383924324660297
4.0,6.0,5.523539335426381
4.0,7.0,4.830566175979299
4.0,8.0,1.7659726337409598
4.0,9.0,4.7735649249998815
4.0,10.0,6.104335316385421
4.0,11.0,6.946250286599774
4.0,12.0,6.221078852698678
4.0,13.0,4.680994547102629
4.0,14.0,3.1927029686948334
4.0,15.0,1.5593038088883766
4.0,16.0,3.5258163653660515
4.0,17.0,5.9849744458402885
4.0,18.0,6.574144844716861
4.0,19.0,6.6224204826027995
4.0,20.0,5.980599869507181
4.0,21.0,1.5653595510211615
4.0,22.0,0.8042933590212795
4.0,23.0,6.540030156591664
4.0,24.0,7.359559887239889
4.0,25.0,7.077930062632742
4.0,26.0,4.776593316704923
4.0,27.0,4.0984096557803396
4.0,28.0,2.951279148185972
4.0,29.0,1.5728082774786156
4.0,30.0,8.95334726563653
1.0,5.0,27.84788258320205
2.0,5.0,12.148336690081223
3.0,5.0,8.661927581241418
4.0,5.0,9.383924324660297
5.0,5.0,5.515169717656013
5.0,6.0,1.5290524968201247
5.0,7.0,6.440767484952918
5.0,8.0,6.18594254711418
5.0,9.0,4.962315033435388
5.0,10.0,4.617436784179127
5.0,11.0,5.5476679485896385
5.0,12.0,2.7459081450194307
5.0,13.0,1.290478977505149
5.0,14.0,2.7512348215301246
5.0,15.0,8.207444159506878
5.0,16.0,5.991356979780924
5.0,17.0,7.547531238820569
5.0,18.0,4.544292802589829
5.0,19.0,2.6384993018604197
5.0,20.0,1.2361133734212784
5.0,21.0,7.250734920136194
5.0,22.0,8.700975964986325
5.0,23.0,5.3499314884762175
5.0,24.0,4.450181197527292
5.0,25.0,5.078109111902817
5.0,26.0,3.5414739923054683
5.0,27.0,1.6092243879688692
5.0,28.0,3.9913334993208363
5.0,29.0,6.021914821110486
5.0,30.0,4.994704382442474
5.0,31.0,4.345174119814998
1.0,6.0,3.861941368837283
2.0,6.0,15.569050881892545
3.0,6.0,8.088207327840367
4.0,6.0,5.523539335426381
5.0,6.0,1.5290524968201247
6.0,6.0,3.4739197156457307
6.0,7.0,13.93225396241358
6.0,8.0,4.4058144503547645
6.0,9.0,4.504083949958643
6.0,10.0,3.9053811677272376
6.0,11.0,4.5593494601361275
6.0,12.0,4.692641444471081
6.0,13.0,8.543527600235413
6.0,14.0,5.41706416155847
6.0,15.0,4.584362803560444
6.0,16.0,2.853919654732297
6.0,17.0,3.549609304860709
6.0,18.0,5.642294956159524
6.0,19.0,5.319243382129896
6.0,20.0,6.209550900390637
6.0,21.0,6.937605421900344
6.0,22.0,7.339524490955158
6.0,23.0,3.0947427912949506
6.0,24.0,1.129098105936225
6.0,25.0,5.512721151447747
6.0,26.0,7.158630929239345
6.0,27.0,9.259611037881658
6.0,28.0,9.176795246308851
6.0,29.0,8.321696332170086
6.0,30.0,2.6411381238358502
1.0,7.0,2.5025854893632293
2.0,7.0,15.589426274491606
3.0,7.0,19.02665858219271
4.0,7.0,4.830566175979299
5.0,7.0,6.440767484952918
6.0,7.0,13.93225396241358
7.0,7.0,4.395363834370856
7.0,8.0,4.869180476326104
7.0,9.0,3.684438608542847
7.0,10.0,7.834475325354363
7.0,11.0,10.617702040170563
7.0,12.0,11.195795732308152
7.0,13.0,11.681537007931988
7.0,14.0,2.1552040926785283
7.0,15.0,1.7918422945892676
